year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2026,3,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",93.00,27.00,10.21,1.00,7.46,0.00,8.33,3.00,0.00,1775.00,811.00,79.00,238.00,0.00,647.00
2026,3,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",92.00,28.00,11.85,0.91,5.50,0.00,9.74,2.00,0.00,1775.00,979.00,87.00,196.00,0.00,513.00
2026,3,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",92.00,19.00,8.59,0.00,2.60,0.00,7.81,3.00,1.00,2035.00,913.00,0.00,269.00,0.00,853.00
2026,3,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",225.00,70.00,29.09,2.52,12.17,0.00,26.22,5.00,0.00,5331.00,2591.00,271.00,648.00,0.00,1821.00
2026,3,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",60.00,14.00,2.32,0.00,3.74,0.00,7.94,6.00,0.00,861.00,220.00,0.00,105.00,0.00,536.00
2026,3,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3383.00,778.00,166.24,27.93,143.60,0.00,440.24,77.00,9.00,80769.00,22970.00,5113.00,10483.00,0.00,42203.00
2026,3,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",6.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,121.00,121.00,0.00,0.00,0.00,0.00
2026,3,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",92.00,10.00,5.94,0.74,0.81,0.00,2.50,0.00,0.00,889.00,653.00,55.00,51.00,0.00,130.00
2026,3,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",92.00,27.00,9.03,1.42,4.09,0.00,12.46,3.00,0.00,1626.00,607.00,75.00,158.00,0.00,786.00
2026,3,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",92.00,25.00,9.66,0.00,1.38,0.00,13.96,8.00,0.00,1534.00,503.00,0.00,31.00,0.00,1000.00
2026,3,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",98.00,27.00,7.94,0.00,4.66,0.00,14.40,14.00,0.00,2276.00,1004.00,0.00,143.00,0.00,1129.00
